mode,N,exact_match_mean,contains_match_mean,bbox_parse_success_rate,bbox_acc_at_05,mean_bbox_iou,mean_crop_ratio,mean_latency_ms_total,mean_latency_ms_generate,mean_peak_gpu_memory_mb,mean_num_visual_inputs,mean_answer_length,mean_reasoning_tokens,mean_compressed_reasoning_tokens,mean_reasoning_compression_ratio,extraction_success_rate
crop_only,3,0.3333333333333333,0.6666666666666666,1.0,1.0,0.6683776460372003,0.30194533333333334,465.40103599985133,465.2905906665789,13889.344401041666,1.0,5.333333333333333,5.333333333333333,,,1.0
full,3,0.0,0.6666666666666666,,,,,820.9412403333166,820.8624586665488,13889.33154296875,1.0,17.333333333333332,17.333333333333332,,,1.0
pred_bbox,3,0.3333333333333333,0.6666666666666666,1.0,1.0,0.6683776460372003,0.30194533333333334,473.5177389998171,473.44454366672534,14213.325520833334,2.0,5.333333333333333,5.333333333333333,,,1.0
structured_evidence,3,0.6666666666666666,0.6666666666666666,1.0,1.0,0.6683776460372003,0.30194533333333334,385.66092733344703,385.56007466665204,14273.849446614584,2.0,1.0,1.0,,,1.0
