mode,policy,n,pre,gen,e2e,mem,imgs,box_ok,area,hit,hit_n
base,auto,3,0.032832271333063545,0.5131320706665671,0.5466258859996742,14226.63427734375,2.0,1.0,0.196192,0.6666666666666666,0.6666666666666666
blur,auto,3,0.09274848866698449,0.31229706499986304,0.4055698340001375,13949.907877604166,1.0,1.0,0.196192,1.0,1.0
mark,auto,3,0.07053433366612201,0.29671856799965707,0.36776414499915216,13949.907877604166,1.0,1.0,0.196192,1.0,1.0
mix,auto,3,0.09443466000053984,0.3084531239998493,0.40344521600036387,13949.907877604166,1.0,1.0,0.196192,1.0,1.0
zoom,auto,3,0.10528123600003407,0.44298397900001873,0.5489486413334816,13947.92333984375,1.0,1.0,0.196192,1.0,1.0
