tag,mode,policy,pad,blur,scale,n,pre,gen,e2e,mem,imgs,box_ok,area,hit,hit_n
b12,blur,auto,1.2,12.0,0.25,30,0.021546396700099044,0.19356614690001758,0.21545213103333177,13946.830354817708,1.0,0.9333333333333333,0.2179714642857143,0.9,0.9
b4,blur,auto,1.2,4.0,0.25,30,0.021668549433282655,0.19537022020006892,0.2174431979666527,13946.830354817708,1.0,0.9333333333333333,0.2179714642857143,0.9333333333333333,0.9333333333333333
b8,blur,auto,1.2,8.0,0.25,30,0.022114023566579512,0.19278234153334778,0.21525750106660174,13946.830354817708,1.0,0.9333333333333333,0.2179714642857143,0.9333333333333333,0.9333333333333333
p10,blur,auto,1.0,8.0,0.25,30,0.02193623463320667,0.19406531133342167,0.21638530149987975,13946.830354817708,1.0,0.9333333333333333,0.2179714642857143,0.9,0.9
p10,mix,auto,1.0,8.0,0.25,30,0.02065616863340741,0.19435124663329287,0.2153723135667254,13946.830354817708,1.0,0.9333333333333333,0.2179714642857143,0.9,0.9
p12,blur,auto,1.2,8.0,0.25,30,0.021738158933264154,0.19435908086667647,0.2164594840999598,13946.830354817708,1.0,0.9333333333333333,0.2179714642857143,0.9333333333333333,0.9333333333333333
p12,mix,auto,1.2,8.0,0.25,30,0.020668120366705504,0.1939566323000387,0.21501429100004923,13946.830354817708,1.0,0.9333333333333333,0.2179714642857143,0.9333333333333333,0.9333333333333333
p15,blur,auto,1.5,8.0,0.25,30,0.02224434576673957,0.19321978173332657,0.21584173686675664,13946.830354817708,1.0,0.9333333333333333,0.2179714642857143,0.9333333333333333,0.9333333333333333
p15,mix,auto,1.5,8.0,0.25,30,0.021732480166701863,0.19538126776672773,0.21751143433336134,13946.830354817708,1.0,0.9333333333333333,0.2179714642857143,0.9333333333333333,0.9333333333333333
