mode,compression_type,visual_input_reduction,latency_reduction_vs_pred_bbox,memory_reduction_vs_pred_bbox,accuracy_delta_vs_pred_bbox
center_bbox,center_bbox,0.0,-0.21935768198928526,0.0,0.09999999999999998
crop_only,crop_only,0.5,0.24549532772553925,0.022751948698958534,-0.09999999999999998
full,full,0.5,-0.8617390106025252,0.022885500642212064,-0.04999999999999993
lowres_full_highrescrop,lowres_full_highrescrop,0.0,0.19728530224693192,0.0025101467964269565,0.09999999999999998
oracle_bbox,oracle_bbox,0.0,-0.08865401254582582,0.0,0.050000000000000044
pred_bbox,pred_bbox,0.0,0.0,0.0,0.0
random_bbox,random_bbox,0.0,0.07584866148291701,0.0,0.050000000000000044
structured_evidence,structured_evidence,0.0,0.2715732573454094,-0.004212095368699344,-0.04999999999999993
woimg,woimg,1.0,-0.3862884345918129,0.041973360641393544,-0.29999999999999993
