mode,reasoning_length_reduction,answer_accuracy_delta,generation_latency_delta,extraction_success_rate
center_bbox,,0.09999999999999998,83.45585809988734,1.0
crop_only,,-0.09999999999999998,-93.45734440005344,1.0
full,,-0.04999999999999993,327.9846681999061,1.0
lowres_full_highrescrop,,0.09999999999999998,-75.12976765017356,1.0
oracle_bbox,,0.050000000000000044,33.74269224987074,1.0
pred_bbox,,0.0,0.0,1.0
random_bbox,,0.050000000000000044,-28.89957230008804,1.0
structured_evidence,,-0.04999999999999993,-103.41154470006586,1.0
woimg,,-0.29999999999999993,146.9973339499802,1.0
