mode,N,exact_match_mean,contains_match_mean,bbox_parse_success_rate,bbox_acc_at_05,mean_bbox_iou,mean_crop_ratio,mean_latency_ms_total,mean_latency_ms_generate,mean_peak_gpu_memory_mb,mean_num_visual_inputs,mean_answer_length,mean_reasoning_tokens,mean_compressed_reasoning_tokens,mean_reasoning_compression_ratio,extraction_success_rate
center_bbox,20,0.4,0.95,1.0,0.7,0.5561369362718394,0.25,464.11093330002586,464.0079850999882,14212.598266601562,2.0,7.4,7.4,,,1.0
crop_only,20,0.6,0.75,1.0,0.35,0.3451012240473189,0.1566328,287.17895725005746,287.09478260004744,13889.233959960937,1.0,3.6,3.6,,,1.0
full,20,0.0,0.8,,,,,708.61359430005,708.536795200007,13887.33583984375,1.0,16.9,16.9,,,1.0
lowres_full_highrescrop,20,0.85,0.95,1.0,0.35,0.3451012240473189,0.1566328,305.5286181000156,305.4223593499273,14176.92255859375,2.0,3.05,3.05,,,1.0
oracle_bbox,20,0.4,0.9,1.0,1.0,1.0,0.28787160000000006,414.3626084998914,414.2948192499716,14212.598266601562,2.0,6.65,6.65,,,1.0
pred_bbox,20,0.5,0.85,1.0,0.35,0.3451012240473189,0.1566328,380.6191900500153,380.5521270001009,14212.598266601562,2.0,5.5,5.5,,,1.0
random_bbox,20,0.65,0.9,1.0,0.0,0.08292498558533613,0.0911940486886413,351.7497339500096,351.65255470001284,14212.598266601562,2.0,4.2,4.2,,,1.0
structured_evidence,20,0.8,0.8,1.0,0.35,0.3451012240473189,0.1566328,277.2531967999612,277.140582300035,14272.4630859375,2.0,1.0,1.0,,,1.0
woimg,20,0.0,0.55,,,,,527.6479811500394,527.5494609500811,13616.04775390625,0.0,13.9,13.9,,,1.0
