mode,N,exact_match_mean,contains_match_mean,bbox_parse_success_rate,bbox_acc_at_05,mean_bbox_iou,mean_crop_ratio,mean_latency_ms_total,mean_latency_ms_generate,mean_peak_gpu_memory_mb,mean_num_visual_inputs,mean_answer_length,mean_reasoning_tokens,mean_compressed_reasoning_tokens,mean_reasoning_compression_ratio,extraction_success_rate
feature_pca_256,20,0.5,0.85,1.0,0.35,0.3451012240473189,0.1566328,385.8309157001713,385.7567163000567,14212.598266601562,2.0,5.5,5.5,,,1.0
feature_pca_512,20,0.5,0.85,1.0,0.35,0.3451012240473189,0.1566328,383.8382456000033,383.77611325001055,14212.598266601562,2.0,5.5,5.5,,,1.0
vision_pruned_10,20,0.55,0.6,1.0,0.35,0.3451012240473189,0.1566328,331.4416815500066,331.3755821000001,14212.547485351562,2.0,2.8,2.8,,,1.0
vision_pruned_20,20,0.5,0.5,1.0,0.35,0.3451012240473189,0.1566328,232.79956605000226,232.7360508999988,14212.547485351562,2.0,1.0,1.0,,,1.0
