compress_mode,num_samples,avg_latency_sec,avg_max_gpu_memory_mb,bbox_valid_rate,avg_bbox_area,contains_match,normalized_contains_match
blur,3,0.3000963889999184,13950.900065104166,1.0,0.196192,1.0,1.0
crop_only,3,0.30174693566671823,13947.923177083334,1.0,0.196192,1.0,1.0
downsample,3,0.29922396166656046,13950.900065104166,1.0,0.196192,1.0,1.0
mask,3,0.29631031300004906,13950.900065104166,1.0,0.196192,1.0,1.0
none,3,0.5232789126666072,14226.63427734375,1.0,0.196192,0.6666666666666666,0.6666666666666666
