compress_mode,visual_input_policy,num_samples,avg_latency_sec,avg_preprocess_latency_sec,avg_generation_latency_sec,avg_end_to_end_latency_sec,avg_max_gpu_memory_mb,avg_num_visual_images,bbox_valid_rate,avg_bbox_area,contains_match,normalized_contains_match
blur,auto,100,0.20248291818997133,0.07481223932005378,0.20248291818997133,0.27769650279001323,13947.060288085937,1.0,0.91,0.17983127472527477,0.8,0.8
crop_only,auto,100,0.2108848258999933,0.03011443444998804,0.2108848258999933,0.24141277799001729,13944.041411132812,1.0,0.91,0.17983127472527477,0.7,0.7
downsample,auto,100,0.20926334672994926,0.07346635002998482,0.20926334672994926,0.28312138985990715,13947.060297851562,1.0,0.91,0.17983127472527477,0.79,0.79
mask,auto,100,0.20397310325995932,0.05877285272998961,0.20397310325995932,0.26314384535999125,13947.02119140625,1.0,0.91,0.17983127472527477,0.78,0.78
none,auto,100,0.3633403041999736,0.01814849182002945,0.3633403041999736,0.38199836260002484,14223.483349609374,2.0,0.91,0.17983127472527477,0.8,0.8
