compress_mode,num_samples,avg_latency_sec,avg_max_gpu_memory_mb,bbox_valid_rate,avg_bbox_area,contains_match,normalized_contains_match
blur,3,0.32580717200001647,13962.81591796875,1.0,0.307158326,1.0,1.0
crop_only,3,0.3180346603333722,13959.832194010416,1.0,0.307158326,0.6666666666666666,0.6666666666666666
downsample,3,0.33128397000003434,13962.81591796875,1.0,0.307158326,1.0,1.0
mask,3,0.3193726186666481,13962.81591796875,1.0,0.307158326,0.6666666666666666,0.6666666666666666
none,3,0.7997943500000323,14238.60302734375,1.0,0.307158326,1.0,1.0
