compress_mode,visual_input_policy,num_samples,avg_latency_sec,avg_preprocess_latency_sec,avg_generation_latency_sec,avg_end_to_end_latency_sec,avg_max_gpu_memory_mb,avg_num_visual_images,bbox_valid_rate,avg_bbox_area,contains_match,normalized_contains_match
blur,auto,100,0.20463913585998397,0.07594618614997671,0.20463913585998397,0.28098017095998784,13947.060288085937,1.0,0.91,0.17983127472527477,0.8,0.8
crop_only,auto,100,0.209182777969977,0.03136514869000621,0.209182777969977,0.24095731690999855,13944.041411132812,1.0,0.91,0.17983127472527477,0.7,0.7
downsample,auto,100,0.21037648641003215,0.07441670361000434,0.21037648641003215,0.28519645586003206,13947.060297851562,1.0,0.91,0.17983127472527477,0.79,0.79
mask,auto,100,0.20420355899000697,0.05840327417999561,0.20420355899000697,0.2630173621799713,13947.02119140625,1.0,0.91,0.17983127472527477,0.78,0.78
