mode,reasoning_length_reduction,answer_accuracy_delta,generation_latency_delta,extraction_success_rate
center_bbox,,0.029999999999999916,59.87572470995917,1.0
crop_only,,-0.1100000000000001,-142.65839332999343,1.0
full,,-0.10000000000000009,338.0246931399733,1.0
lowres_full_highrescrop,,-0.010000000000000009,-76.58647601998376,1.0
oracle_bbox,,0.019999999999999907,83.153348660012,1.0
pred_bbox,,0.0,0.0,1.0
random_bbox,,0.019999999999999907,-43.77486140002924,1.0
structured_evidence,,-0.07000000000000006,-89.51164471006445,1.0
woimg,,-0.33000000000000007,160.5046112100036,1.0
