mode,N,exact_match_mean,contains_match_mean,bbox_parse_success_rate,bbox_acc_at_05,mean_bbox_iou,mean_crop_ratio,mean_latency_ms_total,mean_latency_ms_generate,mean_peak_gpu_memory_mb,mean_num_visual_inputs,mean_answer_length,mean_reasoning_tokens,mean_compressed_reasoning_tokens,mean_reasoning_compression_ratio,extraction_success_rate
center_bbox,100,0.4,0.83,1.0,0.54,0.513877354847755,0.25,414.3401693700115,414.2583987899705,14212.4492578125,2.0,6.95,6.95,,,1.0
crop_only,100,0.66,0.69,1.0,0.27,0.37550890694297984,0.154359,211.8008340599954,211.7242807500179,13888.25802734375,1.0,1.79,1.79,,,1.0
full,100,0.0,0.7,,,,,692.5031971499673,692.4073672199846,13886.593857421874,1.0,17.33,17.33,,,1.0
lowres_full_highrescrop,100,0.72,0.79,1.0,0.27,0.37550890694297984,0.154359,277.8702621799948,277.79619806002756,14176.694897460937,2.0,2.9,2.9,,,1.0
oracle_bbox,100,0.36,0.82,1.0,1.0,1.0,0.26597294,437.6364065800408,437.5360227400233,14212.4492578125,2.0,7.59,7.59,,,1.0
pred_bbox,100,0.51,0.8,1.0,0.27,0.37550890694297984,0.154359,354.47058670000393,354.3826740800113,14212.4492578125,2.0,5.1,5.1,,,1.0
random_bbox,100,0.6,0.82,1.0,0.01,0.10824077648693609,0.11537857837204234,310.6738047500039,310.6078126799821,14212.4492578125,2.0,3.89,3.89,,,1.0
structured_evidence,100,0.73,0.73,1.0,0.27,0.37550890694297984,0.154359,264.95043511998574,264.8710293699469,14272.188681640626,2.0,1.03,1.03,,,1.0
woimg,100,0.0,0.47,,,,,514.9729830200249,514.8872852900149,13616.007744140625,0.0,14.29,14.29,,,1.0
