mode,compression_type,visual_input_reduction,latency_reduction_vs_pred_bbox,memory_reduction_vs_pred_bbox,accuracy_delta_vs_pred_bbox
center_bbox,center_bbox,0.0,-0.16889859107175081,0.0,0.029999999999999916
crop_only,crop_only,0.5,0.4024868578468346,0.022810370301976097,-0.1100000000000001
full,full,0.5,-0.9536266847890755,0.022927462711010486,-0.10000000000000009
lowres_full_highrescrop,lowres_full_highrescrop,0.0,0.21609782981750644,0.002515707159475584,-0.010000000000000009
oracle_bbox,oracle_bbox,0.0,-0.2346198048596395,0.0,0.019999999999999907
pred_bbox,pred_bbox,0.0,0.0,0.0,0.0
random_bbox,random_bbox,0.0,0.12355547566790409,0.0,0.019999999999999907
structured_evidence,structured_evidence,0.0,0.25254606429667187,-0.004203316595504349,-0.07000000000000006
woimg,woimg,1.0,-0.45279468125759503,0.04196613144240526,-0.33000000000000007
